# ang_deg abs(r)**2 abs(t)**2 r.real r.imag t.real t.imag
0.4401 0.0310874 8.99949e-11 0.174258 -0.0268613 8.89703e-06 -3.29208e-06 
0.442 0.0303372 1.09929e-10 0.172158 -0.0264357 -4.58368e-07 1.04747e-05 
0.4439 0.0296113 1.33707e-10 0.1701 -0.0260218 -1.04934e-05 -4.85751e-06 
0.4458 0.0289086 1.61959e-10 0.168084 -0.0256193 9.26324e-06 -8.72647e-06 
0.4477 0.0282282 1.95401e-10 0.166108 -0.0252276 5.20832e-06 1.29721e-05 
0.4496 0.0275691 2.34844e-10 0.16417 -0.0248463 -1.53227e-05 2.41555e-07 
0.4515 0.0269307 2.81202e-10 0.16227 -0.024475 5.63538e-06 -1.57938e-05 
0.4534 0.0263119 3.35505e-10 0.160407 -0.0241134 1.40818e-05 1.17136e-05 
0.4553 0.0257121 3.98906e-10 0.15858 -0.0237611 -1.72019e-05 1.01489e-05 
0.4572 0.0251305 4.72698e-10 0.156787 -0.0234177 -4.23693e-06 -2.13248e-05 
0.4591 0.0245664 5.58322e-10 0.155028 -0.023083 2.34174e-05 3.15415e-06 
0.461 0.0240191 6.57381e-10 0.153301 -0.0227565 -1.13179e-05 2.30062e-05 
0.4629 0.0234881 7.71658e-10 0.151607 -0.0224381 -1.98667e-05 -1.94158e-05 
0.4648 0.0229726 9.03126e-10 0.149943 -0.0221274 2.65643e-05 -1.40522e-05 
0.4667 0.0224721 1.05397e-09 0.14831 -0.0218241 5.89339e-06 3.19254e-05 
0.4686 0.0219861 1.22658e-09 0.146706 -0.021528 -3.47899e-05 -4.03031e-06 
0.4705 0.021514 1.42362e-09 0.145131 -0.0212389 1.49427e-05 -3.46459e-05 
0.4724 0.0210553 1.64799e-09 0.143583 -0.0209564 3.12272e-05 2.59395e-05 
0.4743 0.0206096 1.90288e-09 0.142063 -0.0206805 -3.6066e-05 2.45381e-05 
0.4762 0.0201763 2.19177e-09 0.140569 -0.0204108 -1.48542e-05 -4.43973e-05 
0.4781 0.019755 2.51846e-09 0.139101 -0.0201472 5.01115e-05 -2.70056e-06 
0.48 0.0193454 2.8871e-09 0.137658 -0.0198895 -1.1189e-05 5.25538e-05 
0.4819 0.018947 3.3022e-09 0.13624 -0.0196374 -5.12838e-05 -2.59264e-05 
0.4838 0.0185594 3.76866e-09 0.134846 -0.0193909 4.05336e-05 -4.61052e-05 
0.4857 0.0181822 4.29179e-09 0.133475 -0.0191497 3.7078e-05 5.40093e-05 
0.4876 0.0178152 4.87733e-09 0.132127 -0.0189136 -6.53951e-05 2.45114e-05 
0.4895 0.0174579 5.53149e-09 0.130801 -0.0186826 -8.94118e-06 -7.38346e-05 
0.4914 0.01711 6.26098e-09 0.129496 -0.0184564 7.86237e-05 8.90529e-06 
0.4933 0.0167712 7.07302e-09 0.128213 -0.0182349 -2.81548e-05 7.92485e-05 
0.4952 0.0164412 7.97537e-09 0.126951 -0.018018 -7.54107e-05 -4.78392e-05 
0.4971 0.0161198 8.97637e-09 0.125709 -0.0178054 6.69492e-05 -6.70386e-05 
0.499 0.0158066 1.0085e-08 0.124487 -0.0175972 5.42854e-05 8.44872e-05 
0.5009 0.0155014 1.13108e-08 0.123284 -0.0173932 -9.95153e-05 3.75167e-05 
